,歌詞
0,どこからか漂う　美味しそうな匂い逃れらんないの一旦嗅いだら最後よくらくら蹌踉けちゃう　拐かす匂い秘密という名で評判のフレーバーよ秘すれば花ね本当噂通りで堪んない自分を誑し込んだ本体突き止めたいほらご覧隠したってみえみえ…嘘を乗せたトップノートああ近いようね初々しいバニラ　そう甘やかでしょとろとろ蕩けちゃう　抱え切れぬ恋秘密といういま流行のフレーバーの主に成り果てて噂立ったら堪んない自分を化かし通し首尾よく諦めたい眼は逸らしたってばればれ…悔いを残すラストノートああスパイシーねもどかしいシナモン　ほろ苦いのよ騙し騙され未来はどうなっちゃうの罰は受けるハッピーエンドをお願い頭まで微熱持ってめろめろ…ジゴロ憖そそらないで存在さえもう罪深いチョコレート　芳しいのよ厭だ厭だ見付かんないで誰にも…フェロモン遍く振り撒いて皆を誘き寄せないでいつも見張り続けて独り占めしたい
0,昼過ぎに珍しくテレビをちょっとだけ観たわ果物が煙草の害を少し防ぐと言うのそれですぐこの間のお店へ買いに急いだわ御出掛けになるのなら必ず召し上がってね貴方はきっと外では違う顔なのでしょう?だから此の手は其の疲れを癒す為だけに在るの今朝の様にお帰りが酷く遅い日も屡々明け方の孤独にはピアノで舞踏曲(ポロネーズ)を貴方はそっと指先で髪を撫でるでしょう?だからいま黒く揺蕩うまま伸ばす理由は只ひとつ処でこんな情景をどう思われますか?差し詰め勝手気儘な嘘を云いました態とらしい空の色も全部疎ましくてだから右手に強く握る光など既に見えない…「もう　何も要りません。」
0,是程多くの眼がバラバラに何かを探すとなりゃあ其れなり様々な言葉で各々の全てを見極めなくちゃあならない正しいとか　間違いとか　黒だとか　白だとか何処に行けば良いのですか君を信じて良いのですか愛してくれるのですかあたしは誰なのですか怖くて仕方が無いだけなのに…是迄多くの眼がちやほやとひたすらあたしを肯定した様々な合図でてきぱきと姿を見破られなくちゃあならない優れていて　劣っていて　数だとか　レヴェルとか此処に居れば良いのですか誰が真実なのですかお金が欲しいのですかあたしは誰なのですか何処に行けば良いのですか君を信じて良いのですか愛してくれるのですかあたしは誰なのですか此の先も現在(いま)も無いだけなのに…
0,"I wanna be loved by youJust you, and nobody else, but youI wanna be loved by you aloneI wanna be kissed by youJust you, and nobody else, but youI wanna be kissed by you aloneI couldn't aspireTo anything higherThan To fill the desireTo make you my own"
0,片付いた部屋が温かくて　曇り窓の外コントラスト独りで居るのに慣れないまま　ジャニスを聴いているセンチメンタル此の世で一番輝いている人は努力しているって教えてくれたねねえ　見ている？ほら　星が光っているのを明日は心も空も素敵な青堅苦しい言葉懐かしくて　貴方は小さなモンテスキュー本当の自分に正直で飾らないあたしで良いのだって教えてくれたねねえ　見ている？此の　星が光っているのを貴方の心の様な空を見ているねえ　云える？いま　星が光っている理由(わけ)貴方の心を映しているからだよ明日は心も空も素敵な青
0,何時もの交差点で彼は頬にキスするまた約束も無く今日が海の彼方に沈むヘッドフォンを耳に充(あ)てるアイルランドの少女が歌う夕暮れには切な過ぎる涙を誘い出しているの？振り返る通りを渡るひとに見蕩(みと)れるまた約束も無く彼がビルの彼方に消えるヘッドフォンを耳に充てるファズの利いたベースが走る夕焼けには切な過ぎる涙を誘い出しているの？今の二人には確かなものなど何も無い偶(たま)には怖がらず明日を迎えてみたいのにI PLACE THE HEADPHONES ON MY EARS AND LISTENSOMEONE SINGS A SONG. I FEEL SO BLUE NOW DARLIN' PROMISE MEPLEASE TELL ME SOMETHING WORDS TO SOOTHEI DON'T WANNA CRY
0,"It is neither dark here nor lightI see a faint soft white, white, whiteLacking all gradationCould such a source of light even exist？I'm alone, this I knowNo time flows, smell iron everywhereMay be close or far fromA crawling mass jagged and black, black, blackQualities are unclearSo will it be tangible when it's here？I'm alone, there's no doubtNo body, smell iron everywhere(There's no water or wind nofire or earth no water or fire no)With no light, no shadow fallsStill the two don't touch at allBoth conjoin in harmony, a perfect balance(And no hatred or greed nodeluded mind no remedy there's no)Seeing broadly without eyesIndependently comprisedYet conjoined in harmony, a perfect balanceI take in all of time, endless space, eternal embraceIdeation unbounded is all, there's nothing beyondI myself am the spring and have roughly everythingEternity endlessly is one, its boundaries are noneKnowing neither hunger nor thirstOmnipotent in perfect ease"
0,"Hey waitI think you feel what I sayI think they're calling for rainLook at the signs,Don't leave with an empty handI can't stand to thinkThat you'll be swept up againSo see, smell, touch, feel, listenI can't say enough,Just trust in yourself to knowWhen I see your eyesAnd the darkness drift insideYou always blame the airAnd the pressure building thereAnd always we forgetRemember how it used to beRemember life as freeAnd if your hands can't bear the load,Get wet and come back homeHey look, look and seeI think you hear what you needThe rain beats loud as can beWhere does it fallAnd where does it fall away?Hold on to your voice,The noise never leaves it aloneDon't let your senses go dryYou are your why,Just trust in yourself to knowWhen I see your eyesAnd the tears, the fire insideYou always blame the worldAnd the times we're living throughAnd always we neglectRemember how you played with fireRemember times beforeSo if you choose to fight for lifeStand up and say your nameSo with your pain, so with your nightSo deep you can't recallSo with your dreams, so with your lifeSo high they never fallGo out, go out and when the wildThe Rain has made it throughI'll come and meet you wherever you walkJust don't mistake where you are"
0,僕らが手にしている富は見えないよ彼らは奪えないし壊すこともない世界はただ妬むばっかりもしも彼らが君の何かを盗んだとしてそれはくだらないものだよ返して貰うまでもない筈何故なら価値は生命に従って付いている彼らが手にしている富は買えるんだ僕らは数えないし失くすこともない世界はまだ不幸だってさもしも君が彼らの言葉に嘆いたとしてそれはつまらないことだよなみだ流すまでもない筈何故ならいつも言葉は嘘を孕んでいる君の影が揺れている今日限り逢える日時計何時もの夏がすぐそこにある証君の喜ぶものはありあまるほどにあるすべて君のもの笑顔を見せてもしも彼らが君の何かを盗んだとしてそれはくだらないものだよ返して貰うまでもない筈何故なら価値は生命に従って付いているほらね君には富が溢れている
0,幼い頃から耳を澄ませば、ほんとうに小さな音も聴こえて来た。遠い雲が雨を手放す間に、木々の笑う声。時と言う時はそう音楽になり、欲しいものなどなかった。どれほど強く望もうとも、どれほど深く祈ろうとも、もう聴こえない。あなたの命を聴き取るため、代わりに失ったわたしのあの素晴らしき世界。GOODBYE。唯一の母親に、娘は漏れなく取って置きの魔法をかけられているのだ。青い海が陽射しを抱擁する様に、それは護られていく。出会すシーンはすべてハイライトで、みな、掛け替えのないキャストだった。どれほど強く悔やもうとも、どれほど深く嘆こうとも、帰れやしない。わたしは今やただの女。さよなら、あなた不在のかつての素晴らしき世界。GOODBYE。
0,"i wanna fall into youand i wanna be everything you want me tobut i'm not sure i know howi lose faith and i lose groundwhen i see you i rememberunconditional loveit doesn't matter what i saycause it always seems you're takingme the wrong waybut if you could read my mindyou'd see, i fight myself all the timewhen i see you i surrenderunconditional lovestanding on a wilder shorei got my head up in the cloudsi ain't got no sense of direction nowi wanna lie next to youand i wanna do everything you want me tobut i'm not sure i know howput your arms around me nowwhen i feel you i surrenderunconditional loveall you need iswhat the world needsnow the word is love"
0,好きと云はれりや誰にでもからだをひらくをんなだと世間(ひと)がわちきを嘲笑(わら)ふのを知らぬわけではありんせんだけどこの命一思ひに投げ出した相手は唯(たった)一人だけ噫こんな奥底を突き止めて置きながら知らぬ存ぜぬぢや余り然(そ)で無いわいな月に叢雲(むらくも)花に風酔わせておくんなんし惚れて候好いたお人にや何処までも莫迦(ばか)になる様なをんなだと世間がわちきを嘲笑へども自棄(やけ)や勢(はず)みぢやありんせんだからこの心破いて千切れる迄(まで)抱いてよ唯(たった)一度だけ噫こんな痛みなんぞ明日の望みなんぞ見えぬ聞こえぬ本当も嘘も無いわいな指切拳万針千本呑ませておくんなんし暗(く)れて候無無(なけな)しの命の証を点(とぼ)しておくんなんし判るざんせう
0,頭が有れば要は簡単に片付いて子供と呼べば汚されないで済むのさ僕に少しの光合成　君に似合ふ遺伝子をヒトは仕様の無いことが好きなのだらう「嘘ヲ吐クナヨ」泣いたら何だつて此の白い手に入りさうで答へなら純粋だ　惹かれ合つてゐるこんな風に君を愛する　多分幾つに成れば淋しさや恐怖は消へ得る子供を持てば軈(やが)て苦痛も失せるのか君が慕ふ思春期と　僕が用ゐる反抗期最早語呂を合はすことが好きなのだらう「嘘ヲ吐クナヨ」泣いたらどんな法も覆して願望通り答へなら残忍だ　騙し合つてゐるこんな風に君は愛する　多分「嘘ヲ吐クナヨ」もう是以上知つて　眠らない夜と心中未遂思ひ出に酸化した此の含嗽薬(うがいやく)　迷彩(カムフラーヂュ)無い物　頂戴なんて憤(むずか)つてゐる幼児同様お母様　混紡の僕を恥ぢてゐらつしやいますか君が愛した　僕
0,急に只　寝息が欲しくなって　冷凍庫にキーを隠したのです夢の隙に現を殺し　戦う不条理なレッグカフ…今朝の二時シヤーベッツのロゴが溶けている　黄色い車の名は「　　　」明け立ての夜を強請(ねだ)る品川埠頭に似合うのです…今朝の五時あたしが此のまヽ海に沈んでも何一つ汚されることはありませぬ其れすら知りながらあなたの相鎚だけ望んでいるあたしは病気なのでしょう甲州街道からの渋滞が激化して日本の朝を見ました覚醒を要する今日と云う厳しい矛盾に惑うのです…つい先(さっき)もどれ程　若さの上に丸で雲切れの笑顔を並べど変わりませぬ孤独を知る毎に　あなたの相鎚だけ望んでいるあたしはあたしはあなたの其の瞳が頷く瞬間に初めて生命の音を聴くのです天鵞絨(ビロード)の海にも　仕方のないことしか無かったらあたしはどう致しましょう翻弄されているということは状態として　美しいでしょうかいいえ　綺麗な花は枯れ醜い過程が嘲笑(わら)うのです…何時の日も
0,「もしもし　そろそろ逢ひたいな」庭には　花菱草(はなびしそう)何時何時(いついつ)　出やる　後ろの正面振り返つて　振り返つて彼(あ)の子は未(ま)だだよと「もしもし　お変わり無いですか」庭には夏が帰(き)さう何時何時　出やる　後ろの正面待ち望むで　待ち望むで彼の子にまう良いかいと鳥渡(ちょつと)仰(あお)いで戸惑(とまど)ひは太陽を隠す雲置いて行かないで空は金と朱色　互ひ違ひ実の無い花は　枯れても永遠に愛(め)でらるる無実の罪蕾に成つて魅せてくれ　さあ　今日と明日を結べ急度(きっと)祈つて　恥ぢらひが陶酔に負ける風付いて来ないで　我は綿の混紡(こんぼう)　互ひ違ひ花の咲かない実は　朽(く)ち永遠に忘らるる無骨な罰　貳(ふた)ツに割つて召し上がれ　さあ　今日も明日も　御覧実の無い花が　枯れゆき永遠の名を貰(もら)ふよ膨らむでゆく　衣纏(まと)ひし此(こ)の子は誰?妙に甘く鮮やかな実嗚呼(ああ)　哀しみ携(たずさ)えし子よ　眠れ
0,恐ろしくて堪んないのただひとり黒々澱んでいるわたしの名は過去と言うのよ迎えを待っている恥ずかしくて堪んないの仰いだら白々拡がっていたあなたがそう未来と言うのね眩しく揺らいでいる遠いようで近いようなあなたの正体をさあ見せてわたしを捕まえて頂戴ほらあなたはわたしを判っているんでしょ悲しくて動けないわ包(くる)んでもっとそっとさあ見ていて…二人が出会う瞬間よ嗚呼なんて美しいのこれ以上は有り得ないわわたし達は二つで一つもう完成しているから離れらんないの如何したって全てが揃ったわ無彩色同士愛し合って赤青黄色の永遠になった嗚呼なんて果敢無いの
0,空低く雲携え木々の肌匂わせている火照った頬に若葉が切絵を映してこれっきりの日とあなた空深く雲黙らせ海の肌撫でつけている翳った指に籠る温もりを隠してこれっきりの夜とあなた噫!世界とまさに出会そうとしている二度と来ないわたしの今日二人と居ないあなたの所為空遠く雲藍染め今の肌通わせている乾いた口に淀む言の葉を焦がして潤んでは出合う眼差し生きているわたしとこれっきりの今日とあなた
0,青い空よなぜ雲をかかえて走っていく恋しいだれかをそっと追い掛けるの？甘い果実よなぜ蜜を隠して黙っている美味しい所をだれかに残しているの？　　　　おしえてよもう騙されないわ　　　　仮初めの彩度だけぢゃ厭なの　　　　　　‥色眼鏡割り棄てて‥赤い空よなぜ太陽なんて溶かしていく敢えないなみだに今日を滲ませるの？　　　　判るのよちゃんと見極めるわ　　　　モノクロの濃度だけで好いの　　　　　　‥色仕掛取り止めて‥気高いあなたもこの大自然の一端ねわたしに見せてよ今尚未開拓の根源生きているあなたいのちは無色透明黄色い百合よなぜ別れ際に咲(わら)っている万代不易(えいえん)を欲するのは無為と云うの？丸い目をすかして求めた全部が愛(かな)しい浅い夢見やしゃんせさあ見やしゃんせ
0,ねえ、如何して目を合わさうともしないの。何故。屹度「直視に耐へない。」とでも云ふのでせう。だうせ。ぢやあ一体誰よ。こんな女にしたのは誰。ねえ、待つてゐたんだよ追つて来てくれるのをずつと。やつと会へたつてのに抱いてもくれないのか。一寸。あゝ人生ご破算。お前さんあんたの所為だつて。分かんないの。仕合せつて何。何れが其れだつてのよ。面倒臭いわ。脳味噌も腸もばら撒いて見せやうか。骨の髄まで染め抜かれた女をご覧なさい。好きよ大好き、皆あんたに上げる。いゝえ。嫌ひ大嫌ひよ、矢つ張り返して今直ぐ。なんて。まう遅いわ南無三。お前さんで出来てんだ、全部。分かつてんの。仕合せも、不幸も、刻一刻消え失せる。冷やこいやうで温かいこの手が、味わひ尽くしたわ。これ以上は何にも無いと思ふの。憎く可愛い人よ。痛いやうで気持ち良いお別れよ。過ぎ去つたあの日々。留めてゐるまゝの生命ごと終はらせて仕舞ひたい。薄らいで行くわ。私は独り法師。
0,何でもいいのさ分別(しどけ)ない願望は何処?文明の進歩へ反比例していく自然いつだって泳ぎ回る欲性(セックス)と嫉妬が満ち干けば知りたいのは仕掛けじゃない割り高広告黙ってろってんだ捏造して金儲けか聡ずかしがっているヒトを視たいのに安くていいのさ邪心(あどけ)ない絶望は何処?どっちかと云えば不幸せな方がいいだれかの取り乱した顔嘘と秘密を剥がし取れ知りたいのは釣り餌じゃない手前の可愛さ誇張すなってんだ見えそうでも見えない自我鏡よ鏡、映して本性を干上がっていく水面にて言葉も忘れ苦悩しようもんか知りたいのは真実(ほんとう)だけ事実は小説よりも奇なり明日は我が身
0,"おいでここへ急いで時間が溶けて無くなるよ些細なこと褒めたり　Your words wash over me電波の向こう忙しい　It's really funny話題が継ぎ接ぎ　自然じゃないデザイン早いとこ核心ついてI SCREAM君は判っている旬は流離う悪者おいでここへ急いで時間は食べるべきものさいざ会っても隔たり　You are slipping away電話のおと騒がしい　I'm feeling lonely腑甲斐無い遣り取り　自然こそリファイン硬い言葉よりそっと1 TOUCH　君を誘っているSHORT CUT　冷たい素肌に1 SCRATCH　やさしい裏技SHORT CUT…　いけない？DON'T MINDI SCREAM君は黙っている旬は恥じらう生物(なまもの)おいでここへ急いで時間が溶けて消えるなら延長してこの賞味期限(best before)　美味しい侭永遠を望んだ瞬間世界は滅亡あーあ如何して君はひとりしかいないの？ICE, ICE, ICECREAM楽園にようこそ旬は正に今でしょおいでここへ急いで時間が溶けて無くなるよ"
0,指と謂う指を貴方に委ね疎通夢を見てゐる金色エナメルが伍本揃ふ其処で　鳥渡(ちよつと)だけ　休憩を　お口に合ひますかさあだうぞ　唯濃密な接吻を　お口に合ひますか生命さへ怪しき瞬きに過呼吸貴方に塗つて戴いた金色エナメルが壱拾本揃ふ此処で　やつとこさ　完成品　お眼鏡は如何さあだうぞ　唯従服の快感を　お眼鏡は如何「愛したひとは貴方だけ」善くも平氣で濡れし此の色目よ似合ふのは　さう　興味本位な　金色の爪(ネイル)そして燃ゆる頬令今宵は果実色に無言(しじま)の意圖か熟れゆく鎖骨のお皿注いで　銘酒の内の取つて置きなら処變はればお相手も變はつて往きます虚構みたいに真赤のエナメル弐拾本揃ふ此処でも　矢張り　同様に　御顔色を窺ひつさあだうぞ　唯恍惚と心中を　御顔色を窺ひつ「愛と謂う言葉が嫌ひです」善くも平氣で抜かす此の色目よ似合ふのは　さう　鋭利で気丈な真赤の爪(ネイル)そして燃ゆる頬血液に似た色に　日向の意圖か熟れゆく羞恥心のお庭注いで　銘酒の内の取つて置きならだつて明日は如何生る身露知れず　果てはたつた一時先の未来其れすら確かぢや無いもの　確かぢやないでせう「愛するひとは貴方だけ」是がたつた一時の真事(まこと)で痛くもない剥いではまた塗つて戴く爪(ネイル)「愛と謂う言葉は不要です」いとも容易に濡れし此の色目を新しく演出して　さあ何方でも…お好きな様に
0,氣持ちは晴れ　身体も未だ自由が利く眼に映る良さ　映らぬ善さ隣の芝　青く見えたら出来るだけ睡(ねむ)るのさ肌を包むガーゼは白い嘘　甘い羂(わな)自ら裏切るなら楽をするに限るさ大人だから小さく唄ふ位　笑ふ位許してね息が出来る頃迄氣の果てまで同じ風が馨つたら善い手にする貴さ　出来ぬ尊さ覚えた儘　内緒の地圖で雨の中を出掛けやう背中を湿らすのは赤い疑念　辛い罰憂き世に居た堪れない悲劇が溢れたとしやう大人だから今日はまう唄ふ位　笑う位許してね守るものは護るさ
0,"Sighs in the blackest black abiding,as soon as one dies, one is risingwith the night so dark and cold,the wishes I make are swallowed up and hidden awayBreath of the whitest white iswhat I most with to say down deep now insideCan a voice so numb and cold have some song to sing？It could be false, or realityThe things I like, or hate, or things I want to gainWhatever's feeling good is what my lines would sayFor setting off the black from white, it'd work perfectlyThough like a chant of ruination it'd beWhy did I think that since I'd studiedthe latest schoolbook I'd know clearlyWhat's right from what's wrong, and which is which one,that I could choose, I could really know？I live according to stage-right, stage-left, exitImprovisation's not been in my bag of tricksSo much of what I want to say pours out noisilyBut never when you're not here alone with meWhat I know that I hold in my hands I want to set free,think of how much lighter you and I would feel thenEvery word, every wall, every curse and sparing nothing, strip it,take it all away to once again see eye to eyeThe things I like, or hate, or things I want, expect,Though if I let them out, I think, what happens next？Well, setting off the white from black is fearful indeedIt's even more so when you live honestlyThis life is long, so long, the world is wide, I say,And when we've freedom won, it all becomes one grayYes, happiness, unhappiness, it's only the heartThat knows no quietude that makes itself knownWhile an adult can keep a secret alone"
0,飛交う人の批評に自己実現を図り戸惑うこれの根源に尋ねる行為を忘れ此の日々が訪れた窓の外には誤魔化しの無い夏　描かれている吹き荒れる風に涙することも　幸せな君を只願うことも　同じ空は明日を始めてしまう例え君が此処に居なくても彷徨う夢の天神に生温さを望み行交う人の大半に素早く注目をさせ其の欲が満たされたあたしの眼にも果てることない夢　映されるのか泣き喚く海に立ち止まることも　触れられない君を只想うことも　同じ空は明日を始めてしまう例えあたしが息を止めても吹き荒れる風に涙することも　幸せな君を只願うことも泣き喚く海に立ち止まることも　触れられない君を只想うことも　同じ空は明日を始めてしまう例えあたしが息を止めても
0,窓辺に置いた椅子にもたれあなたは夕陽見てたなげやりな別れの気配を横顔に漂わせ二人の言葉はあてもなく過ぎた日々をさまようふりむけばドアの隙間から宵闇がしのび込むどんな運命が愛を遠ざけたの輝きはもどらないわたしが今死んでもランプを灯せば街は沈み窓には部屋が映る冷たい壁に耳をあてて靴音を追いかけたどんな運命が愛を遠ざけたの輝きはもどらないわたしが今死んでも
0,"And when the evening comesa young girl is crying someI know you don't think it sowrong or impoliteTo say it more than twice,repeat it every nightI know it must to youseem something I should knowIt may or may not comeIt hasn't happened butYou talk and don't let goThe world is moving slowYou say it more than twice,repeat it every nightI know it must to youseem something I should knowI don't, don't want to knowSo so loud, so Isay, oh and oh,that's enough for meIf you would chase a flydon't look at some girl's lifedon't swat beyond your eyesJust turn and face your ownAnd you may find it flewInto another roomSo go and chase it downAnd find yourself a homeThey say to speak your mindor else get passed in lineI think it must to youseem something I should sayI won't, won't say a wordEverything isnone of my concernAbsolutelynone of my concernRelative to youI'm hearing clearwhat is trueTrying in vain to say somethingwastes a lifetime; it's halfway to noiseBeautiful things must be something.They are the things that never can lieHere in my heart, the answer is clearIt's always clear, and here I can flyBeautiful things must be something.They are the things that never can lieI don't, don't want to knowNone of my concernSo oh and oh-oh, silently"
0,蝉の声を聞く度に　目に浮かぶ九十九里浜皺々の祖母の手を離れ　独りで訪れた歓楽街ママは此処の女王様　生き写しの様なあたし誰しもが手を伸べて　子供ながらに魅せられた歓楽街十五に成ったあたしを　置いて女王は消えた毎週金曜日に来ていた男と暮らすのだろう「一度栄えし者でも必ずや衰えゆく」その意味を知る時を迎え足を踏み入れたは歓楽街消えて行った女を憎めど夏は今女王と云う肩書きを誇らしげに掲げる女に成ったあたしが売るのは自分だけで同情を欲した時に全てを失うだろうJR新宿駅の東口を出たら其処はあたしの庭　大遊戯場歌舞伎町今夜からは此の町で娘のあたしが女王
0,あと少しあたしの成長を待ってあなたを夢中にさせたくて藻掻くあたしを可愛がってね今度逢う時はコートも要らないとそんなに普通に云えちゃうのが理解らない…ミルクの白に茶色が負けている何よりもあなたに逢って触れたいの全て味わって確かめてイーヴンな関係に成りたい変わりゆくあたしの温度を許してもし我が儘が過ぎて居ても黙って置いて行ったりしないでねコーヒーの匂いを間に挟んで優位の笑みを隠し切れない様子で居る…苦いだけじゃ未だ中庸が取れない梅の散る午後にもちゃんと二人は今日と同じ様に人混みを擦り抜けられるかしらそれぞれが只忙しくして居たら引く手の加減も曖昧に忘れちゃいそうで不安なのにあなたが此処に居る約束など1つも交わして居ない何時の間にか淡色が当たり前に香り二人を支配しそう誰よりもあたしをちゃんと見透かして口の悪さや強がりは“精一杯”の証拠だって何よりもあなたに逢って触れたいの全て味わって確かめてイーヴンな関係に成りたい変わりゆくあたしの温度を許してもし我が儘が過ぎて居ても黙って置いて行ったりしないでね
0,充たしたいのよ五臓六腑まで沁みわたつてよ留度ないのう酔へる物なら皆呑ませておくれ　もの足りないのう眠りたいのよ生きてゐることも忘れたいのよ忙しないのう狸寝入りを照らさないでおくれ…うらめしやさうだよ幽霊の正体見たり　人間様のお通りよ塩ツ辛いナマ臭い生き血がかしましい南無阿弥陀仏！神様、仏様　這ひつくばつて煙幕を張れば小火騒ぎ交互に人生の上前ハネ合う　世間様おたがひ様狡ツ辛いキナ臭い浮き世はかしましい南無阿弥陀仏！神様、仏様　色めき立つた奴等面白可笑しく空騒ぎところが此方人等一等恐いのは自らよささくれ立つてはついいけない胸騒ぎ遊びたいのよ誰ぞ好い人と善がりたいのよ慾深いのう地獄の淵へ突き落としておくれ繰返される諸行無常よみがへる性的衝動冷凍都市の暮らし行方知れずの彼奴何時の間にか姿眩まし
0,"Who, where, are all the enemies around usI look and yet I never seem to knowTonight I say that fate is in the momentRight here among usSo before you go hating on anotherWhy don't you try and love the way I doSomething is telling me that we're all humanWe want the same thingDon't you go and worry so much'Bout your manners, it's not nice, noGo on, life it never moves too slowSo don't spend it waitingThanks to all of you, we'll dazzle even brighter nowLet the diamond thrill our hearts tonightBrighter than the stars, oh radiant, the only oneTake me back to wild delightMost unusually, defenseless are weWe'll offer a reply, unknown, out of sightNo, not a single enemy is hidingToo true no matter if you take it offWall everybody wants to tremble some yeahBefore the war startsDon't you go and worry so much'Bout what happens, it's not fun, noGo on, life is not so big you knowNo time like the momentThanks to all of you, we'll push it even further nowLet the diamond sear our hearts tonightStay right here with me, we'll find the fuse and blow it upTest me now, my manic delightUniversally defenseless are weWe'll make it on our own and start a new worldDon't think much of this, hey, go ahead make fun of itOh, I haven't yet begun to fightAll that I have said still hasn't been the best of itSo much more is coming to youThank you everyone and welcome to the diamond lightShimmer with me hey now here tonightNothing can come up that ever keeps us down againWe'll just simply laugh at our plightI'll get out of here while I've got the chance"
